Search Criteria:,"   Search in: Projects     AdminIC: All, FOA: RM17-025,RM17-027,RM18-001,RM19-002,RM20-001,RM20-002, Exclude Subprojects: Yes.   Fiscal Year: All Fiscal Years  ",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
NIH Spending Categorization,Project Terms,Project Title,Public Health Relevance,Administering  IC,Application ID,Award Notice Date,FOA,Project Number,Type,Activity,IC,Serial Number,Support Year,Suffix,Program Official Information ,Project Start Date,Project End Date,Study Section,Subproject Number ,Contact PI  Person ID,Contact PI / Project Leader,Other PI or Project Leader(s),Congressional District,Department,DUNS Number,FIPS,Latitude,Longitude,Organization ID (IPF),Organization Name,Organization City,Organization State,Organization Type,Organization Zip,Organization Country,ARRA Indicator,Budget Start Date,Budget End Date,CFDA Code,Funding Mechanism,FY,Funding IC,FY Direct Costs,FY Indirect Costs,FY Total Cost by IC,FY Total Cost (Sub Projects)
No NIH Category available.,3-Dimensional;Adoption;Antibodies;Architecture;ATAC-seq;Atlases;Benign;Biology;Biomechanics;calcification;Cell Communication;Cell Proliferation;cell type;Cells;Clinical;Clinical Data;Clinical Research;cohort;Collaborations;collaboratory;Collection;Communication;Communities;Computational Biology;Cytometry;Data;Data Analyses;data harmonization;data management;Data Set;data sharing;Discipline of obstetrics;Disease;Distant;Endometrial;endometriosis;Endometrium;Endothelial Cells;Endothelium;Ensure;Evaluation;experience;Extracellular Matrix;Female;Female infertility;female reproductive system;Freezing;Functional disorder;Future;Generations;Goals;Growth;Gynecologic Pathology;Gynecologic Surgical Procedures;Gynecology;Histologic;Histology;Human BioMolecular Atlas Program;human data;human female;Human Resources;Image;In Situ;in vivo;in vivo imaging;Inflammation;Infrastructure;interoperability;Kidney;Lead;Life;Longevity;Luteal Phase;Lymphatic System;Magnetic Resonance Imaging;Malignant Female Reproductive System Neoplasm;Mammalian Oviducts;Maps;Menopause;Menstrual cycle;Menstruation;Metadata;Microscopic;mimicry;Modality;Molecular;Molecular Profiling;multiple omics;multiscale data;Myometrial;new technology;Normal Range;Normal tissue morphology;novel;Nucleic Acids;Nursing Faculty;Operative Surgical Procedures;Organ;Outcome;Ovary;Pathology;pathology imaging;Perfusion;Perinatal;Periodicity;Physiological;Placenta;Placenta Accreta;Population;Postmenopause;Pre-Eclampsia;Pregnancy;Pregnancy Outcome;pregnant;Pregnant Women;Premenopause;preservation;Process;programs;Property;Proteomics;Puberty;Public Health;Quality Control;Radiology Specialty;recruit;reproductive;reproductive organ;Research;Research Infrastructure;Research Personnel;Resolution;Resource Sharing;Resources;Sampling;Signal Transduction;single-cell RNA sequencing;Structure;targeted treatment;Technology;technology development;Testing;therapy development;Tissues;tool;transcriptomics;Translational Research;trophoblast;Ultrasonography;Uterus;Visualization;Woman;,Female Reproductive Tissue Mapping Center,"NARRATIVE The primary goal of this Female Reproductive Tissue Mapping Center is to develop three-dimensional multiscale maps of the placenta, uterus, ovaries, and fallopian tubes spanning multiple physiological states across the reproductive lifespan, including pregnancy, the proliferative/follicular and secretory/luteal phases of the menstrual period, and the postmenopausal period. To do this, we will apply a range of imaging and molecular profiling modalities, including in vivo MRI and ultrasound imaging, and ex vivo extracellular matrix proteomics, formal histopathologic evaluation, biomechanical testing, imaging mass cytometry, and spatial transcriptomics, with the resulting data being analyzed and distributed to the broader research community in collaboration with the HuBMAP Integration, Visualization, and Engagement (HIVE) Collaboratory. This project is relevant to public health because the resulting 3D multiscale maps of normal female reproductive tissues will serve as key frames of reference for future studies aiming to discover how perturbation of tissue structure and/or function leads to organ dysfunction in common, yet poorly understood, conditions such as preeclampsia, endometriosis, female infertility, and gynecologic cancers.",NICHD,10119154,22-SEP-2020,RFA-RM-20-002,1U54HD104393-01,1,U54,HD,104393,01,,"HALVORSON, LISA M",25-SEP-2020,31-AUG-2022,Special Emphasis Panel (ZRG1-BST-U (50)R),,9491679,"LAURENT, LOUISE CHANG",Not Applicable,52,OBSTETRICS & GYNECOLOGY,804355790,US,32.881785,-117.236973,577507,"UNIVERSITY OF CALIFORNIA, SAN DIEGO",LA JOLLA,CA,SCHOOLS OF MEDICINE,92093-0934,UNITED STATES, ,25-SEP-2020,31-AUG-2021,865,Research Centers,2020,OD,405652,194348,600000,
No NIH Category available.,Address;Adopted;Atlases;body map;Cells;Climate;Collaborations;collaborative environment;collaboratory;Communication;Communities;Community of Practice;Complex;Creativeness;Data;Databases;Development;experience;experimental study;flexibility;Goals;Guidelines;Health Personnel;Human;Human body;Human Resources;Imagery;Information Resources Management;innovation;Internet;Knowledge;learning community;meetings;member;Mission;novel;Organ;organizational structure;Patient Care;Policies;Privacy;Process;programs;Research;Research Personnel;Resolution;Resources;Science;success;technology development;Tissues;virtual;Vision;web site;Work;,"HuBMAP Integration, Visualization and Engagement by Modular Integration of Novel Databases (HIVE-MIND) Collaboration Component (CC)","PROJECT NARRATIVE Our proposal for the HIVE Collaborative Component provides the collaborative environment in which successful research teams can undertake the complex work of making the human body navigable on the internet similar to a Google Map for the body. This work will help health providers and researchers understand the organization of the human body at different levels (cell, tissue, organ, full body) and to make new discoveries and provide better care for patients.",OD,9829832,29-NOV-2018,RFA-RM-18-001,3OT2OD026663-01S1,3,OT2,OD,026663,01,S1,"CONROY, RICHARD",21-SEP-2018,20-SEP-2022,"HuBMAP Integration, VIsualization, and Engagement (HIVE) ",,6952606,"MABEE, PAULA M ","LENHARDT, WILLIAM CHRISTOPHER",At-Large,BIOLOGY,929930808,US,42.78263,-96.925578,7596201,UNIVERSITY OF SOUTH DAKOTA,VERMILLION,SD,SCHOOLS OF ARTS AND SCIENCES,57069-2307,UNITED STATES, ,21-SEP-2018,20-JUN-2019,310,Others,2019,OD,10204,4796,15000,
No NIH Category available.,Address;Adopted;Atlases;body map;Cells;Climate;Collaborations;collaborative environment;collaboratory;Communication;Communities;Community of Practice;Complex;Creativeness;Data;Databases;Development;experience;experimental study;flexibility;Goals;Guidelines;Health Personnel;Human;Human body;Human Resources;Imagery;Information Resources Management;innovation;Internet;Knowledge;learning community;meetings;member;Mission;novel;Organ;organizational structure;Patient Care;Policies;Privacy;Process;programs;Research;Research Personnel;Resolution;Resources;Science;success;technology development;Tissues;virtual;Vision;web site;Work;,"HuBMAP Integration, Visualization and Engagement by Modular Integration of Novel Databases (HIVE-MIND) Collaboration Component (CC)","PROJECT NARRATIVE Our proposal for the HIVE Collaborative Component provides the collaborative environment in which successful research teams can undertake the complex work of making the human body navigable on the internet similar to a Google Map for the body. This work will help health providers and researchers understand the organization of the human body at different levels (cell, tissue, organ, full body) and to make new discoveries and provide better care for patients.",OD,9687524,21-SEP-2018,RFA-RM-18-001,1OT2OD026663-01,1,OT2,OD,026663,01,,"CONROY, RICHARD",21-SEP-2018,20-JUN-2019,"HuBMAP Integration, VIsualization, and Engagement (HIVE) ",,6952606,"MABEE, PAULA M ","LENHARDT, WILLIAM CHRISTOPHER",At-Large,BIOLOGY,929930808,US,42.78263,-96.925578,7596201,UNIVERSITY OF SOUTH DAKOTA,VERMILLION,SD,SCHOOLS OF ARTS AND SCIENCES,57069-2307,UNITED STATES, ,21-SEP-2018,20-JUN-2019,310,Others,2018,OD,491579,78573,570152,
No NIH Category available.,Adopted;Architecture;Bar Codes;Biological Assay;cell type;Cells;Characteristics;Chemistry;Collection;Colon;community center;Complement;Complex;computational pipelines;Computer Analysis;Consent;Data;Data Analyses;Data Collection;data quality;Data Set;Donor person;Educational workshop;Elements;Ensure;experimental study;Gene Expression;Generations;genomic platform;Goals;Guidelines;Histology;Human;Human BioMolecular Atlas Program;Human body;human tissue;In Situ;Infrastructure;Institutes;Intestines;Kidney;Libraries;Liquid substance;Location;Maps;Measurement;Measures;member;Methods;Microscopy;Modification;Molecular;Molecular Profiling;new technology;Normal tissue morphology;oligo (dT);Organ;Organ Transplantation;Persons;Production;Protocols documentation;Reproducibility;Resolution;RNA;sample collection;Sampling;scale up;Site Visit;Slide;Small Intestines;Specimen;Structure;Technology;Technology Transfer;Testing;Time;Tissue Donors;Tissue Sample;Tissues;tool;Training;Transcript;transcriptome;transcriptome sequencing;transcriptomics;Work;,"Implementation of Slide-seq for high-resolution, whole-transcriptome human tissue maps.","Project Narrative: We will implement a new technology, Slide-seq, to measure gene expression relationships at high spatial resolution, across several human tissues that are currently the focus of the HuBMAP consortium. We will identify experimental parameters and characteristics of tissues that predict successful Slide-seq datasets, and use this information to optimize the quality of the data we acquire. We will then scale up production of Slide-seq arrays at the Broad Institute, to enable its routine and facile use across the HuBMAP consortium.",NCI,10021630,28-AUG-2020,RFA-RM-19-002,5UH3CA246632-02,5,UH3,CA,246632,02,,"LI, JERRY",20-SEP-2019,31-AUG-2022,Special Emphasis Panel (ZRG1-BST-U (70)R),,11038271,"MACOSKO, EVAN Z",Not Applicable,07,Unavailable,623544785,US,42.363318,-71.087781,10021177,"BROAD INSTITUTE, INC.",CAMBRIDGE,MA,Research Institutes,02142-1027,UNITED STATES, ,1-SEP-2020,31-AUG-2021,396,Research Projects,2020,OD,443637,258079,701716,
Bioengineering;Cancer;Cancer Genomics;Genetics;Human Genome,Adopted;Architecture;Biological Assay;cell type;Cells;Characteristics;Chemistry;Collection;Colon;community center;Complement;Complex;Computer Analysis;Consent;Data;Data Analyses;Data Collection;data quality;Data Set;Donor person;Educational workshop;Elements;Ensure;experimental study;Gene Expression;Generations;genomic platform;Goals;Guidelines;Histology;Human;Human body;human tissue;In Situ;Infrastructure;Institutes;Intestines;Kidney;Libraries;Liquid substance;Location;Maps;Measurement;Measures;member;Methods;Microscopy;Modification;Molecular;Molecular Profiling;new technology;Normal tissue morphology;oligo (dT);Organ;Organ Transplantation;Persons;Production;Protocols documentation;Reproducibility;Resolution;RNA;sample collection;Sampling;scale up;Site Visit;Slide;Small Intestines;Specimen;Structure;Technology;Technology Transfer;Testing;Time;Tissue Donors;Tissue Sample;Tissues;tool;Training;Transcript;transcriptome;transcriptome sequencing;transcriptomics;Work;,"Implementation of Slide-seq for high-resolution, whole-transcriptome human tissue maps.","Project Narrative: We will implement a new technology, Slide-seq, to measure gene expression relationships at high spatial resolution, across several human tissues that are currently the focus of the HuBMAP consortium. We will identify experimental parameters and characteristics of tissues that predict successful Slide-seq datasets, and use this information to optimize the quality of the data we acquire. We will then scale up production of Slide-seq arrays at the Broad Institute, to enable its routine and facile use across the HuBMAP consortium.",NCI,9894441,20-SEP-2019,RFA-RM-19-002,1UH3CA246632-01,1,UH3,CA,246632,01,,"LI, JERRY",20-SEP-2019,31-AUG-2022,Special Emphasis Panel (ZRG1-BST-U (70)R),,11038271,"MACOSKO, EVAN Z",Not Applicable,07,Unavailable,623544785,US,42.363318,-71.087781,10021177,"BROAD INSTITUTE, INC.",CAMBRIDGE,MA,Research Institutes,02142-1027,UNITED STATES, ,20-SEP-2019,31-AUG-2020,396,Research Projects,2019,NCI,349721,150279,500000,
Bioengineering;Cancer;Cancer Genomics;Genetics;Human Genome,Adopted;Architecture;Biological Assay;cell type;Cells;Characteristics;Chemistry;Collection;Colon;community center;Complement;Complex;Computer Analysis;Consent;Data;Data Analyses;Data Collection;data quality;Data Set;Donor person;Educational workshop;Elements;Ensure;experimental study;Gene Expression;Generations;genomic platform;Goals;Guidelines;Histology;Human;Human body;human tissue;In Situ;Infrastructure;Institutes;Intestines;Kidney;Libraries;Liquid substance;Location;Maps;Measurement;Measures;member;Methods;Microscopy;Modification;Molecular;Molecular Profiling;new technology;Normal tissue morphology;oligo (dT);Organ;Organ Transplantation;Persons;Production;Protocols documentation;Reproducibility;Resolution;RNA;sample collection;Sampling;scale up;Site Visit;Slide;Small Intestines;Specimen;Structure;Technology;Technology Transfer;Testing;Time;Tissue Donors;Tissue Sample;Tissues;tool;Training;Transcript;transcriptome;transcriptome sequencing;transcriptomics;Work;,"Implementation of Slide-seq for high-resolution, whole-transcriptome human tissue maps.","Project Narrative: We will implement a new technology, Slide-seq, to measure gene expression relationships at high spatial resolution, across several human tissues that are currently the focus of the HuBMAP consortium. We will identify experimental parameters and characteristics of tissues that predict successful Slide-seq datasets, and use this information to optimize the quality of the data we acquire. We will then scale up production of Slide-seq arrays at the Broad Institute, to enable its routine and facile use across the HuBMAP consortium.",NCI,9894441,20-SEP-2019,RFA-RM-19-002,1UH3CA246632-01,1,UH3,CA,246632,01,,"LI, JERRY",20-SEP-2019,31-AUG-2022,Special Emphasis Panel (ZRG1-BST-U (70)R),,11038271,"MACOSKO, EVAN Z",Not Applicable,07,Unavailable,623544785,US,42.363318,-71.087781,10021177,"BROAD INSTITUTE, INC.",CAMBRIDGE,MA,Research Institutes,02142-1027,UNITED STATES, ,20-SEP-2019,31-AUG-2020,396,Research Projects,2019,OD,150636,64730,215366,
Data Science;Networking and Information Technology R&D (NITRD),"3-Dimensional;Architecture;Atlases;Award;base;Blood;Brain imaging;BRAIN initiative;Budgets;Cancer Research Network;Cells;Censuses;Centers for Disease Control and Prevention (U.S.);Chicago;Cloud Computing;collaboratory;Collection;Complex;Computer software;computing resources;cost;cyber infrastructure;Data;data management;data resource;Data Science;Data Set;data sharing;Deposition;design;Ensure;experience;FaceBase;FAIR principles;flexibility;Goals;Grant;Health Technology;Human;Human body;Hybrids;Image;image archival system;Imagery;imaging scientist;Infrastructure;Institutes;Lead;Leadership;Licensing;Maps;National Heart, Lung, and Blood Institute;National Institute of Dental and Craniofacial Research;National Institute of General Medical Sciences;open data;Output;Participant;peer networks;Philosophy;Process;programs;Recording of previous events;Reproducibility;Research;Resources;Role;Running;Scientist;Security;Services;Site;Site Visit;social;software development;Solid;Structure;Supercomputing;System;Technology;Time;Tissues;tool;tumor;United States National Institutes of Health;Universities;usability;user centered design;virtual;Vision;Work;",Flexible Hybrid Cloud Infrastructure for Seamless Management of HuBMAP Resources,"To provide for the Infrastructure Component (IC) of the HuBMAP HIVE, Pittsburgh Supercomputing Center (PSC) and the University of Pittsburgh (Pitt) will create a flexible and scalable hybrid cloud infrastructure in close coordination with the HIVE Collaboratory, the HuBMAP Consortium, and stakeholders world wide. This proposed IC will seamlessly connect HuBMAP with storage and co-located compute resources for depositing, accessing, querying, searching, analyzing, and visualizing both raw and processed HuBMAP data. The IC will provide the open data platform for study of tissue organization and function through 3D biomolecular tissue maps in the spatial framework of the human body envisioned by HuBMAP.",OD,10017372,19-SEP-2019,RFA-RM-18-001,3OT2OD026675-01S3,3,OT2,OD,026675,01,S3,"BEST, TYLER KORY",21-SEP-2018,20-SEP-2022,"HuBMAP Integration, VIsualization, and Engagement (HIVE) ",,11762761,"NYSTROM, NICHOLAS A. ","SILVERSTEIN, JONATHAN C.",18,NONE,052184116,US,40.443528,-79.955322,247601,CARNEGIE-MELLON UNIVERSITY,PITTSBURGH,PA,OTHER DOMESTIC HIGHER EDUCATION,15213-3815,UNITED STATES, ,17-SEP-2019,20-JUN-2020,310,Others,2019,OD,439448,60552,500000,
Data Science;Networking and Information Technology R&D (NITRD),"3-Dimensional;Architecture;Atlases;Award;base;Blood;Brain imaging;BRAIN initiative;Budgets;Cancer Research Network;Cells;Censuses;Centers for Disease Control and Prevention (U.S.);Chicago;Cloud Computing;collaboratory;Collection;Complex;Computer software;computing resources;cost;cyber infrastructure;Data;data management;data resource;Data Science;Data Set;data sharing;Deposition;design;Ensure;experience;FaceBase;FAIR principles;flexibility;Goals;Grant;Health Technology;Human;Human body;Hybrids;Image;image archival system;Imagery;imaging scientist;Infrastructure;Institutes;Lead;Leadership;Licensing;Maps;National Heart, Lung, and Blood Institute;National Institute of Dental and Craniofacial Research;National Institute of General Medical Sciences;open data;Output;Participant;peer networks;Philosophy;Process;programs;Recording of previous events;Reproducibility;Research;Resources;Role;Running;Scientist;Security;Services;Site;Site Visit;social;software development;Solid;Structure;Supercomputing;System;Technology;Time;Tissues;tool;tumor;United States National Institutes of Health;Universities;usability;user centered design;virtual;Vision;Work;",Flexible Hybrid Cloud Infrastructure for Seamless Management of HuBMAP Resources,"To provide for the Infrastructure Component (IC) of the HuBMAP HIVE, Pittsburgh Supercomputing Center (PSC) and the University of Pittsburgh (Pitt) will create a flexible and scalable hybrid cloud infrastructure in close coordination with the HIVE Collaboratory, the HuBMAP Consortium, and stakeholders world wide. This proposed IC will seamlessly connect HuBMAP with storage and co-located compute resources for depositing, accessing, querying, searching, analyzing, and visualizing both raw and processed HuBMAP data. The IC will provide the open data platform for study of tissue organization and function through 3D biomolecular tissue maps in the spatial framework of the human body envisioned by HuBMAP.",OD,9988044,11-SEP-2019,RFA-RM-18-001,3OT2OD026675-01S2,3,OT2,OD,026675,01,S2,"BEST, TYLER KORY",21-SEP-2018,20-SEP-2022,"HuBMAP Integration, VIsualization, and Engagement (HIVE) ",,11762761,"NYSTROM, NICHOLAS A. ","SILVERSTEIN, JONATHAN C.",18,NONE,052184116,US,40.443528,-79.955322,247601,CARNEGIE-MELLON UNIVERSITY,PITTSBURGH,PA,OTHER DOMESTIC HIGHER EDUCATION,15213-3815,UNITED STATES, ,11-SEP-2019,20-JUN-2020,310,Others,2019,OD,137337,54709,192046,
No NIH Category available.,3-Dimensional;Ache;Address;Amino Acid Sequence;Area;Awareness;base;Bioinformatics;bioinformatics tool;Biology;Bladder;Cell Differentiation process;Cell physiology;Cell Separation;Cells;Chromatin;Chromatography;combinatorial;commercialization;Complex;cost;Coupling;Custom;Data;data integration;data visualization;Databases;design;Detection;Development;Diabetic Nephropathy;Disease;Dissociation;DNA Methylation;End stage renal failure;Endothelial Cells;Epigenetic Process;Exposure to;Fourier Transform;Genes;Goals;Health;high throughput analysis;histone modification;Histones;Human;Human BioMolecular Atlas Program;human tissue;Image;image processing;image visualization;imaging approach;imaging modality;improved;innovation;interest;Kidney;laser capture microdissection;Lasers;Liquid substance;Liver;Location;Maps;Mass Spectrum Analysis;Measurement;Measures;mesangial cell;Methods;Microfluidics;Molecular;Morphology;multimodal data;Multimodal Imaging;multimodality;nanoDroplet;next generation;novel;Nucleosomes;open source;Organ;Pathogenesis;Pattern;Peptides;Phase;Play;podocyte;Post-Translational Protein Processing;Preparation;Process;programs;Proteins;Proteolysis;Proteome;Proteomics;Recovery;Research;Resolution;RNA methylation;Role;Sampling;Series;Side;Source;stoichiometry;System;Technology;Tissue imaging;Tissues;tool;Toxic Environmental Substances;Transcriptional Regulation;transcriptomics;Untranslated RNA;Variant;virtual;Visualization software;Work;,Spatially resolved characterization of proteoforms for functional proteomics,"PROJECT NARRATIVE The goal of this proposal is to establish novel capabilities to enable characterization of proteoforms (i.e. functional units of proteome) in localized tissue regions and ultimately in single cells. A powerful new platform will incorporate a series of innovative advancements to microfluidic sample preparation, top-down proteomics, protein mass spectrometry imaging, and multimodal data integration and visualization. The ability to map specific proteoforms to tissue regions and cells will greatly assist in building 3D maps of human tissues and identifying molecular processes underpinning cellular function.",NCI,10118771,8-SEP-2020,RFA-RM-20-001,1UG3CA256959-01,1,UG3,CA,256959,01,,"SRINIVAS, POTHUR R",8-SEP-2020,31-AUG-2022,Special Emphasis Panel (ZRG1-IMST-M (50)R),,7897025,"PASA-TOLIC, LJILJANA ",Not Applicable,04,Unavailable,032987476,US,46.309429,-119.308686,685903,BATTELLE PACIFIC NORTHWEST LABORATORIES,RICHLAND,WA,Research Institutes,99352-0999,UNITED STATES, ,8-SEP-2020,31-AUG-2021,310,Research Projects,2020,OD,189504,110496,300000,
No NIH Category available.,3-Dimensional;Affect;base;Biology;bone;Cartilage;cell type;Cells;Characteristics;Collaborations;Communication;Communities;Confocal Microscopy;Data;Data Analyses;Data Files;Databases;Discipline;Educational workshop;Ensure;Environment;experience;Faculty;Genetic;Genetic Transcription;Goals;Grant;Guidelines;Health;Heterogeneity;Histologic;histological image;Histology;Human;Human Biology;Human BioMolecular Atlas Program;Human Resources;human tissue;Image;In Situ;In Situ Hybridization;Individual;insight;interest;Joints;Knee;Ligands;Maps;mechanical load;Mechanics;meetings;member;Methods;Minerals;Molecular;Molecular Biology;multimodality;Normalcy;Outcome;outreach;Pathway interactions;Pattern;Process;programs;Protocols documentation;Quality Control;Rare Diseases;receptor;Research;Research Personnel;Resolution;Resources;response;Role;Sampling;Signal Pathway;Signal Transduction;skeletal;Skeletal system;skeletal tissue;Skeleton;soft tissue;Source;Structure;substantia spongiosa;symposium;Systems Biology;Techniques;Technology;Therapeutic;three dimensional structure;Tissue imaging;Tissues;Tooth structure;Tooth Tissue;Training;Transcript;transcription factor;transcriptome;transcriptomics;Translating;virtual;Visual;visual map;,High resolution 3D mapping of cellular heterogeneity within multiple types of mineralized tissues,"Narrative This grant will adapt the advanced technologies for individual cell analysis within its natural tissue environment currently in use for soft tissue to different members of the mineralized skeletal system (tooth, bone, joint cartilage). The research platform will provide insight into the communication between the cells that regulate human skeletal health and eventually could become a method to understand the fundamental basis for degenerative processes affecting skeletal tissues.",NIAMS,10130123,21-SEP-2020,RFA-RM-20-002,1U54AR078664-01,1,U54,AR,078664,01,,"KIRILUSHA, ANTHONY G",21-SEP-2020,31-AUG-2022,Special Emphasis Panel (ZRG1-BST-U (50)R),,1888773,"ROWE, DAVID W. ","MAYE, PETER ;SHIN, DONG-GUK ",05,DENTISTRY,022254226,US,41.733439,-72.797053,1506603,UNIVERSITY OF CONNECTICUT SCH OF MED/DNT,FARMINGTON,CT,SCHOOLS OF DENTISTRY,06030-5335,UNITED STATES, ,21-SEP-2020,31-AUG-2021,310,Research Centers,2020,OD,350923,156782,507705,
Bioengineering;Networking and Information Technology R&D,Accounting;Algorithms;analytical method;Anatomy;Architecture;Atlases;base;Biological;Biological Neural Networks;Brain;Cells;Collaborations;collaboratory;Communities;computer framework;Computer software;Computing Methodologies;Data;data integration;Data Set;Databases;design;Dimensions;Distributed Systems;flexibility;Future;genomic data;Goals;Heterogeneity;Histologic;Human;Human body;Image;Imagery;Individual;Individual Differences;insight;inter-individual variation;Maps;Measurement;men;Methods;Microscopic;Modality;Modeling;Molecular;novel;Organ;organizational structure;Positioning Attribute;Procedures;programs;Regulation;Research Infrastructure;Resolution;Resources;Role;scaffold;single cell sequencing;spatial integration;Standardization;Structure;success;Supervision;System;Technology;Testing;Tissues;tool;Validation;Woman;Work;,"Comprehensive reference map construction, geolocation and data integration for HuBMAP HIVE","Project Narrative The human body consists of trillions of single cells, but their identities and spatial organization are not well understood. We will develop computational methods to take diverse types of data, and integrate them into a reference ‘atlas’, akin to a Google Maps for the human body.",OD,9687286,21-SEP-2018,RFA-RM-18-001,1OT2OD026673-01,1,OT2,OD,026673,01,,"BEST, TYLER KORY",21-SEP-2018,20-SEP-2022,"HuBMAP Integration, VIsualization, and Engagement (HIVE) ",,11318116,"SATIJA, RAHUL  ","MARIONI, JOHN CARLO",10,Unavailable,078473711,US,,,10032222,NEW YORK GENOME CENTER,NEW YORK,NY,Research Institutes,10013-1941,UNITED STATES, ,21-SEP-2018,20-JUN-2021,310,Others,2018,OD,225848,123090,348938,
No NIH Category available.,3-Dimensional;Address;Affinity Chromatography;Antibodies;Antibody Specificity;base;Biology;Breast;Cell physiology;cell type;Cells;Collection;Communities;Complex;Coupled;Data;Detection;Development;Dimensions;Disease;DNA;Generations;Genomics;Goals;Health;Heterogeneity;Human;Human BioMolecular Atlas Program;Human body;human tissue;Image;Immobilization;Immunoassay;improved;in vivo;insight;instrument;ionization;Ions;Knowledge;Label;laser capture microdissection;Link;Liquid Chromatography;liquid chromatography mass spectrometry;Malignant Neoplasms;Maps;Mass Spectrum Analysis;Metals;Methods;Modification;Movement;Mus;nano-electrospray;open source;Performance;Phase;Phosphopeptides;phosphoproteomics;Phosphorylation;precision medicine;Preparation;pressure;Proteins;Proteome;Proteomics;Recovery;Research;Resolution;RNA;Sampling;Signal Pathway;Signal Transduction;single cell technology;Slide;Source;Specificity;stoichiometry;surfactant;Technology;technology development;Thick;Tissues;tool;transcriptomics;Tube;Uterus;Visualization software;,A streamlined platform for phosphoproteome mapping of human tissues,"NARRATIVE Heterogeneity is inherent in all cellular processes. However, there is an unmet technical challenge for precise, deep, phosphoproteomic characterization of signaling heterogeneity of human tissues at the single-cell or near single-cell resolution. We aim to develop a transformative phosphoproteomics technology for high-resolution 3D-phosphoproteome mapping of human tissues. This technology will lead to gain unprecedented insights into heterogenous signaling networks between healthy and diseased tissues in the human body.",NCI,10118709,9-SEP-2020,RFA-RM-20-001,1UG3CA256967-01,1,UG3,CA,256967,01,,"SRINIVAS, POTHUR R",9-SEP-2020,31-AUG-2022,Special Emphasis Panel (ZRG1-IMST-M (50)R),,11128102,"SHI, TUJIN  ","LIU, HUIPING ",04,Unavailable,032987476,US,46.309429,-119.308686,685903,BATTELLE PACIFIC NORTHWEST LABORATORIES,RICHLAND,WA,Research Institutes,99352-0999,UNITED STATES, ,9-SEP-2020,31-AUG-2021,310,Research Projects,2020,OD,247316,152684,400000,
No NIH Category available.,absorption;Antibodies;Architecture;Area;ATAC-seq;Atlases;Back;Biological Assay;Blood Circulation;Brain Death;brain tissue;cell motility;Cells;Collection;Colon;Communities;Complex;Consent;Data;data dissemination;Data Set;data sharing;Detection;Diarrhea;Digestion;Disease;Duodenum;Encyclopedia of DNA Elements;Epitopes;experience;Food;Gastrointestinal tract structure;Genome;Genomics;Goals;gut microbiome;Health;Heterogeneity;Histologic;Homeostasis;host microbiome;Human;Human BioMolecular Atlas Program;Human body;human disease;ileum;Imaging Techniques;Immune response;Immunity;indexing;Individual;Inflammatory Bowel Diseases;Ingestion;insight;interest;Intestines;jejunum;Large Intestine;Length;Maintenance;Maps;Mediating;member;Metabolism;Methodological Studies;Methods;microbiome;Molecular;Neurophysiology - biologic function;nutrient absorption;Nutritional;Organ;Organ Donor;Participant;Phase;Physiology;Play;Population;preservation;Process;Production;Proteins;Publications;Research Personnel;Resolution;Role;Sampling;scale up;Shapes;single cell analysis;single-cell RNA sequencing;Small Intestines;Structure;System;Techniques;Technology;Tissue Sample;Tissues;Vision;,Stanford Tissue Mapping Center,"PROJECT NARRATIVE: Overall We propose to establish the Stanford Tissue Mapping Center to map the complexity of cellular architecture and biomolecular profiles of the small bowel and colon, which play wide-ranging roles in maintaining normal physiologies of metabolism, immunity, and even neural function. We will apply the deep expertise of our team to obtain high-quality biospecimens consented for open access genome data sharing, characterize the tissues using cutting-edge omics and multiparametric imaging techniques, and perform integrative analyses to understand the biomolecular profiles in the context of spatial tissue structure. We will build high-resolution, molecular and spatial maps that will give the greater scientific community insights into the molecular underpinnings of normal bowel function.",NHGRI,9969579,9-JUL-2020,RFA-RM-17-027,5U54HG010426-03,5,U54,HG,010426,03,,"GILCHRIST, DANIEL A",19-SEP-2018,30-JUN-2022,Special Emphasis Panel (ZRG1-BST-J (50)R),,1862128,"SNYDER, MICHAEL P. ","NOLAN, GARRY P",18,GENETICS,009214214,US,37.429038,-122.178178,8046501,STANFORD UNIVERSITY,STANFORD,CA,SCHOOLS OF MEDICINE,94305-2004,UNITED STATES, ,1-JUL-2020,30-JUN-2021,310,Research Centers,2020,OD,1257516,632443,1693777,
